@relation corpus_tweets_t1
@attribute text string
@attribute opinion {+,-,=}
@data
"<s> HASHTAG NEUTRE PSEUDO sujet lefficacit nergtique PSEUDO URL PSEUDO </s> ", +
"<s> PSEUDO PSEUDO PSEUDO jai POS dure comprendre ecologiques POS NEUTRE antitrain </s> ", -
"<s> dveloppement durable gueule </s> ", -
"<s> lcosystme numrique bordelais rencontre mission french tech nationale URL </s> ", =
"<s> madame sgolne royale ministre lcologie dveloppement durable non destruction nuisibles URL </s> ", -
"<s> jai mis NEUTRE profil viadeo URL </s> ", =
"<s> PSEUDO ptition changement climatique etes meme capable traiter simple dossier citoyen </s> ", -
"<s> quand lcosystme numrique bordelais rencontre mission french tech nationale URL good read </s> ", =
"<s> ad exchange dmp lcosystme NEUTRE route POS subprimes HASHTAG faisant croire bundle youtubesocialtvdatatf </s> ", +
"<s> content participer NEUTRE NEUTRE PSEUDO mondialisation dveloppement durable dchanges dnergie </s> ", +
"<s> camping rime technologie preuve tente capteurs solaires intgrs dans URL </s> ", +
"<s> principes lengagement HASHTAG HASHTAG PSEUDO URL </s> ", +
"<s> for emergencies in HASHTAG call ministre lenvironnement developpement durable </s> ", =
"<s> deuros NEG changement climatique infogreen URL PSEUDO </s> ", +
"<s> oekozenter pfaffenthal NEUTRE dveloppement durable luxembourg infogr URL PSEUDO </s> ", =
"<s> rponse ringards valeurs actuelles URL oliennes dfigurent france </s> ", -
"<s> club ambassadeurs dalsace portrait mois nicolas boidevezi URL </s> ", =
"<s> cc PSEUDO PSEUDO linnovation rayonne versailles URL </s> ", +
"<s> HASHTAG appareils connects mode POS NEG plantaire URL </s> ", -
"<s> mds cest conso mondiale appareils POS URL HASHTAG </s> ", =
"<s> suivi NEUTRE dveloppement durable iso HASHTAG URL </s> ", =
"<s> POS lautorit environnementale relatif projet interreg france manche angleterre URL </s> ", =
"<s> bambou vertus cologiques ethumaines URL </s> ", +
"<s> remarque utilisait peintures cologiques lodeur excellente febreze </s> ", -
"<s> infographie intressante sujet villes cologiques monde URL </s> ", +
"<s> dveloppement durable mtiers davenir URL </s> ", =
"<s> ville cosystme xxime sicle URL </s> ", =
"<s> HASHTAG HASHTAG centrales hydrolectriques larrt URL PSEUDO </s> ", =
"<s> prvention risques dinondation stratgie face risques dinondations subir anticiper URL </s> ", +
"<s> HASHTAG lassombrissement surface groenland printemps amplifie changement climatique calotte URL </s> ", -
"<s> prparer HASHTAG bord leau POS loisirs HASHTAG HASHTAG douce URL </s> ", +
"<s> directeur NEUTRE ministre lenvironnement dveloppement durable abdoulaye bald indiqu que URL </s> ", =
"<s> HASHTAG renforce engagement faveur NEG changement climatique URL </s> ", +
"<s> mission commerciale HASHTAG dveloppement edurable infopresse PSEUDO URL </s> ", =
"<s> fiasco nergtique intressez lcologisme POS soccupe vous URL </s> ", -
"<s> antillais investissent afrique afrique URL </s> ", +
"<s> tourne sens robby swift fond doliennes pozo min rafrachissantes URL PSEUDO </s> ", =
"<s> PSEUDO PSEUDO PSEUDO PSEUDO crer tjrs disciplines dveloppement durable e cest mauvaise direction </s> ", -
"<s> HASHTAG sensibles HASHTAG HASHTAG mauvaise PSEUDO URL HASHTAG </s> ", -
"<s> on passe HASHTAG HASHTAG dire PSEUDO URL HASHTAG </s> ", =
"<s> bonjour tous mercredi juillet stand danimation dveloppement durable install la URL </s> ", =
"<s> HASHTAG HASHTAG HASHTAG plan match trifluvien dveloppement durable lhebdo URL URL </s> ", =
"<s> performance environnementale HASHTAG professionnels veulent exprimenter label PSEUDO URL </s> ", =
"<s> HASHTAG HASHTAG ministre lHASHTAG nouveau NEUTRE PSEUDO URL </s> ", =
"<s> lettre mobilit durable HASHTAG sortie URL notamment PSEUDO PSEUDO PSEUDO </s> ", =
"<s> e NEUTRE luniversit dt HASHTAG HASHTAG HASHTAG septembre bordeaux URL </s> ", =
"<s> oliennes rapport accuse valeurs actuelles URL PSEUDO </s> ", -
"<s> compagnie vent NEUTRE gdf suez fonds mirova eurofideme partenaires centrales solaires NEUTRE URL </s> ", +
"<s> NEUTRE HASHTAG durable energie rves impossibles URL PSEUDO </s> ", +
"<s> cannabis changement climatique URL </s> ", =
"<s> oliennes bton NEUTRE patrimoine NEG municipallimprialisme laid poids ds enveloppesHASHTAG HASHTAG </s> ", -
"<s> PSEUDO PSEUDO PSEUDO voila version URL </s> ", =
"<s> impressionnante petite lise doliennes wow HASHTAG HASHTAG URL </s> ", +
"<s> PSEUDO bonjour POS tweet NEUTRE agence lenvironnement dveloppement durable </s> ", +
"<s> eoliennes on croit devenir fou limplantation engins village saumuroi URL </s> ", -
"<s> HASHTAG HASHTAG URL </s> ", =
"<s> POS denfants jeunes ans schiltigheim handicap visuel auditif moteur action URL </s> ", =
"<s> PSEUDO oliennes proches dhabitation NEG de_plus tueuses oiseaux via lpoPSEUDO PSEUDO </s> ", -
"<s> conseillerconseillre dveloppement durable remplacement dune URL </s> ", =
"<s> web srie sensibiliser gestes cologiques entreprise URL </s> ", =
"<s> alain HASHTAG observe malice lcosystme rechercheuniversit complexe NEUTRE territorial </s> ", -
"<s> ministre dveloppement durable lenvironnement NEG changements clima tiques URL </s> ", +
"<s> soir PSEUDO me prix dveloppement durable er classement gnral dernire NEUTRE droite URL </s> ", +
"<s> PSEUDO raisons cologiques sanitaires NEG famine terme questions place </s> ", -
"<s> exporter llectricit ontario rapporte URL NEUTRE cologiques URL </s> ", =
"<s> rchauffement climatique dautres problme changement climatique affecte monde certains URL </s> ", -
"<s> rediff ans rvolutionne panneaux solaires URL </s> ", +
"<s> ingnieur logistique dveloppement durable stage URL HASHTAG HASHTAG </s> ", =
"<s> HASHTAG combattre particules fines lhydrauliquemais POS HASHTAG lhimalaya URL </s> ", -
"<s> prix femmes dveloppement durable URL clture candidatures juillet </s> ", =
"<s> PSEUDO putain changement climatique </s> ", -
"<s> oliennes prises illgales dintrt impliquant lus locaux URL </s> ", -
"<s> rcoltez bienfaits dtoxification sant nergie peau NEUTRE rajeunie perte poids naturelle URL </s> ", +
"<s> louis giscard destaing rpertori maires france favorables voitures cologiques action URL </s> ", +
"<s> HASHTAG oliennes arme NEG massive tres vivants URL URL </s> ", -
"<s> esprits jeunes dveloppent ides dadultes crois cest dveloppement durable URL </s> ", =
